index,Order ID,Date,Status,Fulfilment,Sales Channel,Service-level,Category,Size,Courier Status,Qty,Currency,Amount,City,State,Postal-Code,Country,B2B,fulfilled-by
7964,402-9218128-3496332,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,376.0,BENGALURU,KARNATAKA,560016,IN,False,Easy Ship
7965,407-5350475-1839544,2022-04-25,Cancelled,Amazon,Amazon.in,Expedited,Blazzer,XXL,Cancelled,0,INR,623.2403721475794,Hyderabad,TELANGANA,500032,IN,False,Easy Ship
7966,403-6510905-4842722,2022-04-25,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,3XL,Shipped,1,INR,399.0,LUCKNOW,UTTAR PRADESH,226012,IN,False,Easy Ship
7967,402-9583384-1832343,2022-04-25,Cancelled,Amazon,Amazon.in,Expedited,Trousers,XXL,Cancelled,0,INR,623.2403721475794,KOLKATA,WEST BENGAL,700066,IN,False,Easy Ship
7968,171-3733144-1080312,2022-04-25,Cancelled,Amazon,Amazon.in,Expedited,Shirt,L,Unshipped,1,INR,271.0,THIRUVANANTHAPURAM,KERALA,695030,IN,False,Easy Ship
7969,403-7084780-1115552,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,Trousers,M,Shipped,1,INR,512.0,SANGLI MIRAJ KUPWAD,MAHARASHTRA,416410,IN,False,Easy Ship
7970,406-6335371-5916303,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,Wallet,Free,Shipped,1,INR,383.0,PALANPUR,Gujarat,385001,IN,False,Easy Ship
7971,408-3455618-8721925,2022-04-25,Cancelled,Amazon,Amazon.in,Expedited,T-shirt,M,Cancelled,0,INR,623.2403721475794,faridabad,HARYANA,121002,IN,False,Easy Ship
7972,403-9331854-8761960,2022-04-25,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,L,Shipped,1,INR,885.0,RAE BARELI,UTTAR PRADESH,229001,IN,False,Easy Ship
7973,407-3592656-4316358,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,T-shirt,S,Shipped,1,INR,1065.0,BENGALURU,KARNATAKA,560067,IN,False,Easy Ship
7974,405-0860245-2285150,2022-04-25,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,319.0,Guntur,ANDHRA PRADESH,500025,IN,False,Easy Ship
7975,171-4447739-0953129,2022-04-25,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,M,Shipped,1,INR,495.0,KOTA,RAJASTHAN,324002,IN,False,Easy Ship
7976,405-4873841-1125924,2022-04-25,Cancelled,Amazon,Amazon.in,Expedited,Shirt,S,Unshipped,1,INR,406.0,MADURAI,TAMIL NADU,625020,IN,False,Easy Ship
7977,405-3789635-9627563,2022-04-25,Cancelled,Amazon,Amazon.in,Expedited,Shirt,S,Unshipped,1,INR,511.0,MADURAI,TAMIL NADU,625020,IN,False,Easy Ship
7978,171-6092740-7321121,2022-04-25,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Trousers,XXL,Shipped,1,INR,540.0,MALWAN,MAHARASHTRA,416606,IN,False,Easy Ship
7979,403-8493692-2797905,2022-04-25,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,L,Shipped,1,INR,1260.0,SITAPUR,UTTAR PRADESH,261001,IN,False,Easy Ship
7980,403-3751531-5225915,2022-04-25,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,M,Shipped,1,INR,654.0,KOLKATA,WEST BENGAL,700052,IN,False,Easy Ship
7981,404-1943529-1201954,2022-04-25,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XXL,Shipped,1,INR,399.0,KOLKATA,WEST BENGAL,700103,IN,False,Easy Ship
7982,403-8355189-7930747,2022-04-25,Cancelled,Merchant,Amazon.in,Standard,Blazzer,XL,On the Way,0,INR,842.86,RAE BARELI,UTTAR PRADESH,229001,IN,False,Easy Ship
7983,405-1355449-7337923,2022-04-25,Cancelled,Amazon,Amazon.in,Expedited,Shirt,XXL,Cancelled,0,INR,623.2403721475794,KANPUR,UTTAR PRADESH,208008,IN,False,Easy Ship
7984,408-3135844-5659522,2022-04-25,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,3XL,Shipped,1,INR,1149.0,CHAKMANO,UTTAR PRADESH,276306,IN,False,Easy Ship
7985,405-8494463-0185154,2022-04-25,Cancelled,Merchant,Amazon.in,Standard,Shirt,XXL,On the Way,0,INR,463.81,KANPUR,UTTAR PRADESH,208008,IN,False,Easy Ship
7986,171-6319976-7170731,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,T-shirt,3XL,Shipped,1,INR,626.0,BENGALURU,KARNATAKA,560084,IN,False,Easy Ship
7987,408-5999153-2785923,2022-04-25,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XS,Shipped,1,INR,419.0,DOHAD,Gujarat,389151,IN,False,Easy Ship
